,,,,,,,,17.5,,,,,,,,
Rank 2021,Settlement Name,Local Authority District,Rank Physical Environment,Rank Quality of Living,Rank Going Green,Price band,Rank in price band,,,Physical Environment,Overall individual Rank,Price Band,,,Over £400k,Overall individual Rank
153,Elgin,Moray,117,151,102,£200-£300k,97,,,,,,,,,
154,East Kilbride,South Lanarkshire,136,164,45,£300-£400k,32,,,,,,,,,
155,Caldercruix,North Lanarkshire,156,48,171,£200-£300k,98,,,,,,,,,
156,Brightons,Falkirk,160,69,152,£200-£300k,99,,,,,,,,,
157,Linlithgow,West Lothian,91,168,72,£300-£400k,33,,,,,,,,,
158,Giffnock,East Renfrewshire,85,165,88,Over £400k,26,,,,,,,,,
159,Newton Mearns,East Renfrewshire,99,171,51,Over £400k,27,,,,,,,,,
160,Smithton,Highland,66,146,148,£200-£300k,100,,,,,,,,,
161,Harthill,North Lanarkshire,135,134,132,£200-£300k,101,,,,,,,,,
162,Moodiesburn,North Lanarkshire,79,128,169,£200-£300k,102,,,,,,,,,
163,Blackburn (Aberdeenshire),Aberdeenshire,142,145,112,£200-£300k,103,,,,,,,,,
164,Galston,East Ayrshire,171,109,125,£200-£300k,104,,,,,,,,,
165,Cumbernauld,North Lanarkshire,96,167,101,£200-£300k,105,,,,,,,,,
166,Mauchline,East Ayrshire,174,124,110,£200-£300k,106,,,,,,,,,
167,Maddiston,Falkirk,163,115,137,£200-£300k,107,,,,,,,,,
168,Bridge of Allan,Stirling,49,169,124,Over £400k,29,,,,,,,,,
169,Stamperland,East Renfrewshire,97,146,151,Over £400k,28,,,,,,,,,
170,Busby,East Renfrewshire,111,170,74,Over £400k,30,,,,,,,,,
171,Milngavie,East Dunbartonshire,45,173,106,Over £400k,31,,,,,,,,,
172,Viewpark,North Lanarkshire,134,172,70,£200-£300k,108,,,,,,,,,
173,Polmont,Falkirk,159,113,167,£200-£300k,109,,,,,,,,,
174,Crosshouse,East Ayrshire,144,127,171,£200-£300k,110,,,,,,,,,
175,Netherlee,East Renfrewshire,87,174,143,Over £400k,32,,,,,,,,,
